Date,Title,URL
Сегодня в 08:23,Газпром. Пора отскакивать,https://bcs-express.ru/tehanaliz/gazp/15.03.24
Вчера в 09:03,Газпром. У покупателей не хватает сил,https://bcs-express.ru/tehanaliz/gazp/14.03.24
13 марта в 08:49,Газпром. Шансы выхода из боковика вверх растут,https://bcs-express.ru/tehanaliz/gazp/13.03.24
12 марта в 09:11,Газпром. Акции под давлением,https://bcs-express.ru/tehanaliz/gazp/12.03.24
11 марта в 08:42,Газпром. «Пила» продолжается,https://bcs-express.ru/tehanaliz/gazp/11.03.24
7 марта в 08:41,Газпром. Оттолкнулись от поддержки и скользящих средних,https://bcs-express.ru/tehanaliz/gazp/07.03.24
6 марта в 07:57,Газпром. Уровень 161 пока сдерживает продавцов,https://bcs-express.ru/tehanaliz/gazp/06.03.24
5 марта в 08:39,Газпром. Проигнорировали оживление на рынке,https://bcs-express.ru/tehanaliz/gazp/05.03.24
4 марта в 09:01,Газпром. Не смогли закрепиться над сопротивлением,https://bcs-express.ru/tehanaliz/gazp/04.03.24
1 марта в 08:44,Газпром. Потенциал для отскока почти исчерпан,https://bcs-express.ru/tehanaliz/gazp/01.03.24
29 февраля в 08:45,Газпром. Волатильность выросла,https://bcs-express.ru/tehanaliz/gazp/29.02.24
28 февраля в 08:43,Газпром. Риски возобновления спуска,https://bcs-express.ru/tehanaliz/gazp/28.02.24
27 февраля в 08:49,Газпром. Потенциал для отскока еще остается,https://bcs-express.ru/tehanaliz/gazp/27.02.24
26 февраля в 08:39,Газпром. Близко к зоне поддержки,https://bcs-express.ru/tehanaliz/gazp/26.02.24
22 февраля в 08:44,Газпром. Осцилляторы перегреты,https://bcs-express.ru/tehanaliz/gazp/22.02.24
21 февраля в 08:45,Газпром. Сломили поддержку,https://bcs-express.ru/tehanaliz/gazp/21.02.24
20 февраля в 08:56,Газпром. Продавцы усиливают давление на 161 руб.,https://bcs-express.ru/tehanaliz/gazp/20.02.24
19 февраля в 09:12,Газпром. Хороший уровень для остановки,https://bcs-express.ru/tehanaliz/gazp/19.02.24
16 февраля в 08:15,Газпром. Близко к поддержке,https://bcs-express.ru/tehanaliz/gazp/16.02.24
15 февраля в 08:58,Газпром. Медведи не отступают,https://bcs-express.ru/tehanaliz/gazp/15.02.24
