Date,Title,URL
Сегодня в 08:30,Сбербанк. Реализуется потенциал разворотной фигуры,https://bcs-express.ru/tehanaliz/sber/15.03.24
Вчера в 08:14,Сбербанк. Фигура «Голова-плечи» усугубляет ситуацию,https://bcs-express.ru/tehanaliz/sber/14.03.24
13 марта в 17:21,"Среднесрочный лонг корзины из трех голубых фишек: Сбербанк, ЛУКОЙЛ, Яндекс",https://bcs-express.ru/novosti-i-analitika/srednesrochnyi-long-korziny-iz-trekh-golubykh-fishek-sberbank-lukoil-iandeks
12 марта в 10:04,Сбербанк отчитался за февраль. Лучшая прибыль за последние 3 месяца,https://bcs-express.ru/novosti-i-analitika/sberbank-otchitalsia-za-fevral
12 марта в 08:32,Сбербанк. Отступили от уровней сопротивления,https://bcs-express.ru/tehanaliz/sber/12.03.24
11 марта в 10:00,Сбербанк. Закрыли неделю выше 300,https://bcs-express.ru/tehanaliz/sber/11.03.24
7 марта в 09:36,Сбербанк. Активность спала,https://bcs-express.ru/tehanaliz/sber/07.03.24
6 марта в 09:54,Сбербанк. Выше 300 продавцы усиливают активность,https://bcs-express.ru/tehanaliz/sber/06.03.24
5 марта в 09:46,Сбербанк. Пора брать круглую отметку,https://bcs-express.ru/tehanaliz/sber/05.03.24
4 марта в 09:52,Сбербанк. Меньше 2% до 300,https://bcs-express.ru/tehanaliz/sber/04.03.24
1 марта в 09:43,"Сбербанк. Покупатели сохраняют инициативу, но активность невысокая",https://bcs-express.ru/tehanaliz/sber/01.03.24
29 февраля в 09:57,Сбербанк. Сдержанная динамика на отчете,https://bcs-express.ru/tehanaliz/sber/29.02.24
28 февраля в 10:02,Сбербанк отчитался. Считаем дивиденды,https://bcs-express.ru/novosti-i-analitika/sberbank-otchitalsia-za-iv-kvartal
28 февраля в 08:26,Сбербанк. Встречаем отчет на двухлетних максимумах,https://bcs-express.ru/tehanaliz/sber/28.02.24
27 февраля в 09:52,Сбербанк. Уже у максимумов,https://bcs-express.ru/tehanaliz/sber/27.02.24
26 февраля в 09:49,Сбербанк. Реализует отскок,https://bcs-express.ru/tehanaliz/sber/26.02.24
22 февраля в 14:20,"Три интересные бумаги на неделю: Мосбиржа, Fix Price, Сбербанк",https://bcs-express.ru/novosti-i-analitika/tri-interesnye-bumagi-na-sleduiushchuiu-nedeliu-mosbirzha-fix-price-sberbank
22 февраля в 09:50,Сбербанк. Пробивает двухмесячный восходящий тренд,https://bcs-express.ru/tehanaliz/sber/22.02.24
21 февраля в 08:43,Сбербанк. Подошли к поддержке двухмесячного тренда,https://bcs-express.ru/tehanaliz/sber/21.02.24
20 февраля в 08:24,Сбербанк. После отката активность резко снизилась,https://bcs-express.ru/tehanaliz/sber/20.02.24
19 февраля в 09:36,Сбербанк. Пробили краткосрочный растущий тренд,https://bcs-express.ru/tehanaliz/sber/19.02.24
16 февраля в 08:32,Сбербанк. Осваиваемся выше 290,https://bcs-express.ru/tehanaliz/sber/16.02.24
15 февраля в 08:31,"Сбербанк. Переписали максимумы, куда дальше?",https://bcs-express.ru/tehanaliz/sber/15.02.24
14 февраля в 08:24,Сбербанк. Протестировали максимумы ноября,https://bcs-express.ru/tehanaliz/sber/14.02.24
13 февраля в 08:49,Сбербанк. Готовы к обновлению максимумов,https://bcs-express.ru/tehanaliz/sber/13.02.24
12 февраля в 08:02,Сбербанк. Откат не получил развития,https://bcs-express.ru/tehanaliz/sber/12.02.24
9 февраля в 10:01,Сбербанк отчитался за январь,https://bcs-express.ru/novosti-i-analitika/2024301320-sberbank-otchitalsia-za-ianvar
9 февраля в 09:51,Сбербанк. Разворот у максимумов,https://bcs-express.ru/tehanaliz/sber/09.02.24
8 февраля в 09:53,Сбербанк. Прицеливается к максимумам 2023,https://bcs-express.ru/tehanaliz/sber/08.02.24
7 февраля в 09:51,Сбербанк. Подошли к январским максимумам,https://bcs-express.ru/tehanaliz/sber/07.02.24
6 февраля в 09:56,Сбербанк. Растет без резких движений,https://bcs-express.ru/tehanaliz/sber/06.02.24
5 февраля в 08:28,Сбербанк. Консолидация не выглядит угрожающе,https://bcs-express.ru/tehanaliz/sber/05.02.24
2 февраля в 09:45,Сбербанк. Обновили двухнедельные максимумы,https://bcs-express.ru/tehanaliz/sber/02.02.24
1 февраля в 09:40,Сбербанк. Активность снова резко снизилась,https://bcs-express.ru/tehanaliz/sber/01.02.24
31 января в 08:14,"Сбербанк. Выйти вниз из боковика не получилось, удастся ли вверх?",https://bcs-express.ru/tehanaliz/sber/31.01.24
30 января в 08:34,Сбербанк. Продавцы еще не потеряли инициативу,https://bcs-express.ru/tehanaliz/sber/30.01.24
29 января в 07:52,Сбербанк. Сохраняется риск развития коррекции,https://bcs-express.ru/tehanaliz/sber/29.01.24
26 января в 09:57,Сбербанк. Пробой поддержки ухудшил краткосрочную картину,https://bcs-express.ru/tehanaliz/sber/26.01.24
25 января в 09:25,Сбербанк. Проявляются очертания фигуры «Голова-плечи»,https://bcs-express.ru/tehanaliz/sber/25.01.24
24 января в 08:15,"Сбербанк. Топчется на месте, но отрабатывает уровни",https://bcs-express.ru/tehanaliz/sber/24.01.24
23 января в 08:30,Сбербанк. Активность продавцов быстро пошла на спад,https://bcs-express.ru/tehanaliz/sber/23.01.24
22 января в 07:33,Сбербанк. Продавили поддержки под конец недели,https://bcs-express.ru/tehanaliz/sber/22.01.24
19 января в 08:40,Сбербанк. Важно удержать поддержки 275–276,https://bcs-express.ru/tehanaliz/sber/19.01.24
18 января в 08:35,Сбербанк. Взбодрились на отчете,https://bcs-express.ru/tehanaliz/sber/18.01.24
17 января в 14:47,Готовь сани зимой. К каким бумагам уже стоит присмотреться под дивиденды летом,https://bcs-express.ru/novosti-i-analitika/gotov-sani-zimoi-k-kakim-bumagam-uzhe-stoit-prismotret-sia-pod-dividendy-letom
17 января в 09:59,Сбербанк опубликовал отчет за декабрь. Считаем дивиденды,https://bcs-express.ru/novosti-i-analitika/sberbank-otchitalsia-za-dekabr
17 января в 08:53,Сбербанк. Простояли в боковике перед публикацией отчета за декабрь,https://bcs-express.ru/tehanaliz/sber/17.01.24
16 января в 08:40,Сбербанк. Не удалось обновить январские максимумы,https://bcs-express.ru/tehanaliz/sber/16.01.24
15 января в 08:14,"Сбербанк. Сбавили темпы, но краткосрочный тренд растущий",https://bcs-express.ru/tehanaliz/sber/15.01.24
12 января в 07:39,Сбербанк. Пока не расторговались,https://bcs-express.ru/tehanaliz/sber/12.01.24
11 января в 08:31,Сбербанк. Может протестировать 200-часовую среднюю,https://bcs-express.ru/tehanaliz/sber/11.01.24
10 января в 08:52,Сбербанк. Откат на низких оборотах,https://bcs-express.ru/tehanaliz/sber/10.01.24
9 января в 08:30,Сбербанк. Ориентиры смещаются к 280,https://bcs-express.ru/tehanaliz/sber/09.01.24
3 января в 08:34,Сбербанк. За год выросли на 92%,https://bcs-express.ru/tehanaliz/sber/03.01.24
29 декабря 2023,Сбербанк. Отскочили от динамической поддержки,https://bcs-express.ru/tehanaliz/sber/29.12.23
28 декабря 2023,Сбербанк. «Праздничная» динамика,https://bcs-express.ru/tehanaliz/sber/28.12.23
27 декабря 2023,Сбербанк. Консолидация вместо коррекции,https://bcs-express.ru/tehanaliz/sber/27.12.23
26 декабря 2023,Сбербанк. 200-часовая средняя выступит поддержкой,https://bcs-express.ru/tehanaliz/sber/26.12.23
25 декабря 2023,Сбербанк. Ускорились с пробоем нисходящего тренда,https://bcs-express.ru/tehanaliz/sber/25.12.23
22 декабря 2023,Сбербанк. С пробоем тренда может последовать ускорение,https://bcs-express.ru/tehanaliz/sber/22.12.23
21 декабря 2023,Сбербанк. Продолжается консолидация под нисходящим трендом,https://bcs-express.ru/tehanaliz/sber/21.12.23
20 декабря 2023,Сбербанк. Нужно пробивать краткосрочный нисходящий тренд,https://bcs-express.ru/tehanaliz/sber/20.12.23
19 декабря 2023,Сбербанк. Копим силы для нового рывка,https://bcs-express.ru/tehanaliz/sber/19.12.23
18 декабря 2023,Сбербанк. Резко изменили направление,https://bcs-express.ru/tehanaliz/sber/18.12.23
15 декабря 2023,Сбербанк. Снова на минимумах,https://bcs-express.ru/tehanaliz/sber/15.12.23
14 декабря 2023,Сбербанк. Пробой уровня 263 будет позитивным сигналом,https://bcs-express.ru/tehanaliz/sber/14.12.23
13 декабря 2023,"Сбербанк. Отскок, но еще не разворот",https://bcs-express.ru/tehanaliz/sber/13.12.23
12 декабря 2023,Сбербанк. Все ближе к 250,https://bcs-express.ru/tehanaliz/sber/12.12.23
12 декабря 2023,"Сбер. Высокая рентабельность, несмотря на замедление",https://bcs-express.ru/novosti-i-analitika/sber-vysokaia-rentabel-nost-nesmotria-na-zamedlenie
11 декабря 2023,Сбербанк отчитался за ноябрь. Прибыль снизилась,https://bcs-express.ru/novosti-i-analitika/2024326260-sberbank-otchitalsia-za-noiabr
11 декабря 2023,Сбербанк. Символический рост оптимизма не добавил,https://bcs-express.ru/tehanaliz/sber/11.12.23
8 декабря 2023,Сбербанк. Пробита еще одна поддержка,https://bcs-express.ru/tehanaliz/sber/08.12.23
7 декабря 2023,Сбербанк. Упали на высоких оборотах,https://bcs-express.ru/tehanaliz/sber/07.12.23
6 декабря 2023,Сбербанк собирается направлять 50% чистой прибыли на дивиденды,https://bcs-express.ru/novosti-i-analitika/sberbank-sobiraetsia-napravliat-50-na-vyplatu-dividendov
6 декабря 2023,Сбер представил Стратегию 2026. Главное,https://bcs-express.ru/novosti-i-analitika/sber-predstavil-strategiiu-2026-glavnoe
6 декабря 2023,Сбербанк. Покупатели вернулись в бумагу перед важной презентацией,https://bcs-express.ru/tehanaliz/sber/06.12.23
6 декабря 2023,Прогнозы и комментарии. В центре внимания День инвестора Сбера,https://bcs-express.ru/novosti-i-analitika/prognozy-i-kommentarii-v-tsentre-vnimaniia-den-investora-sbera
5 декабря 2023,Сбербанк. Цена может найти поддержку в районе 266–267,https://bcs-express.ru/tehanaliz/sber/05.12.23
4 декабря 2023,Сбербанк. Сигналы разворотной свечи не подтвердились,https://bcs-express.ru/tehanaliz/sber/04.12.23
1 декабря 2023,"Сбербанк. Отскок может продолжиться к 280,5",https://bcs-express.ru/tehanaliz/sber/01.12.23
30 ноября 2023,Сбербанк. Цена пробивает годовой восходящий тренд,https://bcs-express.ru/tehanaliz/sber/30.11.23
29 ноября 2023,Сбербанк. Пробой годового тренда пока не засчитан,https://bcs-express.ru/tehanaliz/sber/29.11.23
28 ноября 2023,Сбербанк. Резкий откат к годовому восходящему тренду,https://bcs-express.ru/tehanaliz/sber/28.11.23
27 ноября 2023,Сбербанк. Рост может продолжиться после взятой паузы,https://bcs-express.ru/tehanaliz/sber/27.11.23
24 ноября 2023,Сбербанк. Откатились к ближайшей поддержке,https://bcs-express.ru/tehanaliz/sber/24.11.23
23 ноября 2023,"Сбербанк. Может продолжить подъем к 289,5",https://bcs-express.ru/tehanaliz/sber/23.11.23
22 ноября 2023,Сбербанк. Обороты упали — цена стоит на месте,https://bcs-express.ru/tehanaliz/sber/22.11.23
21 ноября 2023,Сбербанк. Продвигается к максимумам,https://bcs-express.ru/tehanaliz/sber/21.11.23
20 ноября 2023,"5 идей в российских акциях. Добавляем Яндекс, новости уже скоро",https://bcs-express.ru/novosti-i-analitika/5-idei-v-rossiiskikh-aktsiiakh-dobavliaem-iandeks-novosti-uzhe-skoro
20 ноября 2023,Сбербанк. Провели неделю в нисходящем треугольнике,https://bcs-express.ru/tehanaliz/sber/20.11.23
17 ноября 2023,Сбербанк. За какими уровнями следить,https://bcs-express.ru/tehanaliz/sber/17.11.23
16 ноября 2023,Сбербанк. Мощный выкуп,https://bcs-express.ru/tehanaliz/sber/16.11.23
15 ноября 2023,Сбербанк. Где ждать остановки коррекции,https://bcs-express.ru/tehanaliz/sber/15.11.23
