Date,Time,Title,URL,Type,Ticker
2024-05-03,08:49,Сбербанк. Вышли к поддержке среднесрочного тренда,https://bcs-express.ru/tehanaliz/sber/03.05.24,Теханализ,SBER
2024-05-02,12:31,"И взболтать, и смешать: почему держателям облигаций стоит добавлять в портфель акции",https://bcs-express.ru/novosti-i-analitika/1714642296-i-vzboltat-i-smeshat-pochemu-derzhateliam-obligatsii-nuzhno-dobavliat-v-portfel-aktsii,Среднесрочные тренды,SBER
2024-05-02,08:34,Сбербанк. У динамической поддержки,https://bcs-express.ru/tehanaliz/sber/02.05.24,Теханализ,SBER
2024-04-30,07:09,Ожидаемые события на 30 апреля 2024,https://bcs-express.ru/novosti-i-analitika/ozhidaemye-sobytiia-na-30-aprelia-2024,Российский рынок,SBER
2024-04-27,15:31,Куда реинвестировать дивиденды и купоны,https://bcs-express.ru/novosti-i-analitika/1714221088-kuda-reinvestirovat-dividendy-i-kupony,Российский рынок,SBER
2024-04-27,14:53,Записки инвестора. Что держать в фокусе,https://bcs-express.ru/novosti-i-analitika/1714218761-zapiski-investora-chto-derzhat-v-fokuse,Российский рынок,SBER
2024-04-27,14:13,"Итоги недели. Решение ЦБ, акции МТС Банка на бирже, дивиденды и отчеты компаний",https://bcs-express.ru/novosti-i-analitika/itogi-nedeli-reshenie-tsb-aktsii-mts-banka-na-birzhe-dividendy-i-otchety-kompanii,Российский рынок,SBER
2024-04-27,10:00,Парные идеи: как получить доходность до 27%,https://bcs-express.ru/novosti-i-analitika/parnye-idei-rezul-taty-nashikh-rekomendatsii,Среднесрочные тренды,SBER
2024-04-27,08:15,Сбербанк-ао. Боковик после объявления дивидендов,https://bcs-express.ru/tehanaliz/sber/27.04.24,Теханализ,SBER
2024-04-26,19:59,"Итоги торгов. Лента, Аэрофлот и предстоящий отчет Газпрома",https://bcs-express.ru/novosti-i-analitika/itogi-torgov-lenta-aeroflot-i-predstoiashchii-otchet-gazproma,Российский рынок,SBER
2024-04-26,18:22,Сезон отчетов: подводим итоги апреля,https://bcs-express.ru/novosti-i-analitika/rossiiskie-kompanii-v-aprele-opublikovali-planovuiu-otchetnost-sberbank-iandeks-x5-group-severstal-i-drugie,Российский рынок,SBER
2024-04-26,10:01,Сбербанк отчитался за I квартал. Позитивная динамика прибыли,https://bcs-express.ru/novosti-i-analitika/1714114864-sberbank-otchitalsia-za-i-kvartal,Российский рынок,SBER
2024-04-26,07:46,Сбербанк-ао. Продолжается консолидация после сильных движений,https://bcs-express.ru/tehanaliz/sber/26.04.24,Теханализ,SBER
2024-04-25,08:01,Сбербанк-ао. Стабилизация после сильных движений,https://bcs-express.ru/tehanaliz/sber/25.04.24,Теханализ,SBER
2024-04-24,14:21,Сбер 26 апреля отчитается за I квартал 2024. Какие результаты ждать,https://bcs-express.ru/novosti-i-analitika/sber-26-aprelia-otchitaetsia-za-i-kvartal-2024-kakie-rezul-taty-zhdat,Российский рынок,SBER
