Headline,En Headline,Positive,Negative,Neutral,real_score
"Просто и понятно Акции Сбербанка остаются одной из наиболее понятных и привлекательных бумаг на рынке. ,  По итогам года Сбербанк может выплатить рекордные дивиденды — около 33 руб. ,  Сбербанк-ао.",It is simple and understandable that the Sberbank stocks remain one of the most understandable and attractive papers in the market.....................................................................................................................................,0.11493609845638275,0.03918711096048355,0.8458767533302307,0.0757489874958992
"Акции Сбербанка в пятницу подорожали на 0,05%, до 0275,84 руб. ,  Краткосрочная картина   0Цена акций Сбера 0в пятницу простояла в боковике, а обороты не дотянули и до 5 млрд руб. ,    0В ближайшие дни Сбер может представить отчет по РСБУ за декабрь, что будет способствовать росту торговой активности.","On Friday, Sberbank's stock increased by 0.05% to 0275.84 rubles., short-term picture of the 0-Sber stock hold on Friday, while the turnover did not reach 5 billion rubles.",0.9501229524612427,0.017463289201259613,0.032413776963949203,0.9326596632599831
"Акции Сбербанка в четверг подорожали на 0,44%, до 0275,71 руб. ,  Краткосрочная картина   0Котировки акций Сбербанка вчера показали умеренный рост.","Sberbank's stock on Thursday was 0.44%, up to 0275.71 rubles.",0.8142303824424744,0.019795460626482964,0.16597411036491394,0.7944349218159914
"Акции Сбербанка в среду подешевели на 0,29%, до 0274,49 руб. ,  Краткосрочная картина   Цена акций Сбера вчера продолжила коррекцию.","Sberbank's stock on Wednesday is 0.29%, up to 0274.49 rubles, a short-term picture of the stock price of Sber's stock last night continued the correction.",0.13302551209926605,0.8392454385757446,0.027729026973247528,-0.7062199264764786
"Долгосрочные фавориты 0— потенциал роста сохраняется В число долгосрочных фаворитов вошли семь компаний: Северсталь, Мечел-ао, Татнефть-ао, ЛУКОЙЛ, Сбер-ао, TCS и Магнит. ,  Отстает Сбер-ао, который прибавил всего 2%. ,  Сбер-ао Позитивный взгляд, цель на год 0— 370 рублей В стратегии аналитики немного улучшили оценку после рекордного III квартала 2023 г. с учетом ожидаемой высокой рентабельности и хорошего дивидендного потенциала и сохранили позитивный взгляд на акции Сбера. ,  Рекордные результаты Сбера в 2023 г. с высоким уровнем рентабельности, новая стратегия на 2024–2026 гг. ,  В рамках своей стратегии Сбер намерен достичь ROE выше 22% в год за счет среднего уровня банковской чистой процентной маржи (NIM) 5,5%+ и средних темпов роста кредитов и средств физических лиц на 10% в год. ,  Клиентская база Сбера насчитывает 108,2 млн активных розничных и 3,2 млн активных корпоративных клиентов (октябрь 2023 г.). ,  В конце декабря аналитики БКС закрыли идею «Лонг Сбер». ,  Краткосрочный ререйтинг акций сдерживало ужесточение денежно-кредитной политики ЦБ во II полугодии 2023 г., но фундаментальный позитивный взгляд на Сбер сохранился.","Long-term provorites 0 — growth potentials retained. The long-term favourites included seven companies: Severstal, Mechel-ao, Tatneft-ao, LUCYL, Sber-ao, TCS and Magnet. Sber-ao, which added only 2 per cent., Sber-ao Positive view, the goal for a year of 0 to 370 rubles.The strategy of analysts slightly improved the assessment after the record third quarter of 2023, taking into account the expected high cost-effectiveness and high dividend potential and maintaining a positive view of the Sber &apos; s shares., Record Results of the Sber in 2023, with a high level of profitability, a new strategy of 2024 - 2026, As part of its strategy, the Sber intends to achieve ROE over 22 per cent per year at an average level of bank net interest margin (NIM) of 5.5 per cent+ and an average growth rate of 10 per cent per year in loans and funds of individuals., The Klient base of the Sbera is 108.2 million active retailers and 2 per cent of Bop.",0.9037418961524963,0.008750206790864468,0.08750791847705841,0.8949916893616319
"Просто и понятно Акции Сбербанка остаются одной из наиболее понятных и привлекательных бумаг на рынке. ,  Сбер показывает хорошие результаты в условиях повышения ключевой ставки. ,  Сбербанк-ао.",It's simple and understandable that the Sberbank Act remains one of the most understandable and attractive papers in the market.,0.33775994181632996,0.010674169287085533,0.6515659093856812,0.3270857725292444
"Акции Сбербанка в пятницу подешевели на 0,34%, до 0270,82 руб. ,  Краткосрочная картина   0Акции Сбера завершили торги 2023 г. чуть ниже 271.","On Friday, Sberbank's stock was reduced by 0.34% to 0270.82 rubles, and the short-term picture of Eber's 0actions ended the bidding in 2023 just below 271.",0.007579286117106676,0.9733077883720398,0.019112953916192055,-0.9657285022549331
"Закрываем нашу идею 0«Лонг Сбер» с доходностью 2,7% с открытия. ,  Несмотря на рекордный финансовый результат и сильные фундаментальные позиции, ререйтинг акций сдерживало ужесточение денежно-кредитной политики ЦБ во II полугодии 2023 г. Вместе с тем сохраняем фундаментальный позитивный взгляд на Сбер. ,  В рамках стратегии Сбер намерен достичь рентабельности на капитал (ROE) выше 22% в год за счет среднего уровня банковской чистой процентной маржи (NIM) от 5,5% и средних темпов роста кредитов и средств физических лиц на 10% в год. ,  Сбер не ожидает ухудшения кредитного качества и видит стоимость риска в пределах 100–110 б.п., чуть ниже среднего уровня за последние 7 лет. ,  Финансовые результаты Сбера за ноябрь и 11 месяцев 2023 г. по РПБУ (российские положения по бухгалтерскому учету) продолжают отражать влияние повышения процентных ставок и макропруденциальных изменений на динамику кредитного портфеля. ,  Вместе с тем чистая прибыль Сбера остается на высоком уровне — составила 1,378 0трлн руб. ,  Это может сдерживать дальнейший спрос на кредиты и, возможно, окажет влияние на их выдачу Сбером. ,  Сбер — сильная, качественная история с дивидендным потенциалом. ,  Таргеты БКС: Сбербанк-ао (Взгляд: Позитивный. ,  / +36%)Сбербанк-ап 0(Взгляд: Позитивный.","In spite of record financial performance and strong fundamental positions, stock reprioritization has constrained the tightening of the BC's monetary policy in the second half of 2023. However, we maintain a fundamental positive look at the Sber. As part of the Sber's strategy, it aims to achieve capital profitability (ROE) above 22 per cent per year at the average bank net interest margin (NIM) of 5.5 per cent and average growth rates of credit and personal capital by 10 per cent per year. The Sber does not expect the credit quality to deteriorate and sees the cost of risk within the range of 100–110 bp, just below the average level in the last 7 years., Financial results of the Sber for November and 11 months of 2023 on the RPBA (Russian accounting regulations) continue to reflect the impact of interest rate increases and macroprudential changes on the movement of the loan portfolio. However, the net profit of the Sber remains at a high level of 1.378 0.0t.......................................................",0.8325259685516357,0.06168355792760849,0.10579052567481995,0.7708424106240273
,"It's okay. It's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay.",0.10750841349363327,0.11670390516519547,0.7757877111434937,-0.009195491671562195
"Сбер-ао: позитивный взгляд. ,  Отличные финансовые результаты на протяжении 2023 г. предполагают, что летом 2024 г. Сбер выплатит рекордные дивиденды — около 33 руб.","In the summer of 2024, Sber will pay a record dividend of about 33 rubles.",0.26008689403533936,0.010809337720274925,0.7291038036346436,0.24927755631506443
