Headline,En Headline,Positive,Negative,Neutral,real_score
5 идей в российских акциях. Отмечаем перспективные бумаги,Five ideas in Russian action.,0.06358982622623444,0.024636447429656982,0.911773681640625,0.038953378796577454
"Сбербанк. Сбавили темпы, но краткосрочный тренд растущий","Sberbank – Slowed down, but short-term trend is growing.",0.95147705078125,0.02179313451051712,0.026729824021458626,0.9296839162707329
Сбербанк. Пока не расторговались,"Sberbank, until the deal's settled.",0.03275938704609871,0.01466023176908493,0.952580451965332,0.01809915527701378
Сбербанк. Может протестировать 200-часовую среднюю,"Sberbank, can test the 200-hour average.",0.16028575599193573,0.009753075428307056,0.8299611210823059,0.15053268056362867
Фавориты стратегии 2024: рост до 12%,Policy frameworks 2024: up to 12%,0.09363420307636261,0.010952185839414597,0.8954135775566101,0.08268201723694801
5 идей в российских акциях. На какие бумаги обратить внимание,"Five ideas in Russian stocks, which papers to draw attention to.",0.041945770382881165,0.022306105121970177,0.9357481598854065,0.019639665260910988
Сбербанк. За год выросли на 92%,Sberbank. 92% increase over the year.,0.9529334306716919,0.0153574850410223,0.03170911967754364,0.9375759456306696
"Закрываем идею в Сбере: доходность с открытия 2,7%",Shut down the idea in the Sber: the return on the opening is 2.7%.,0.034347958862781525,0.13677141070365906,0.8288806676864624,-0.10242345184087753
Как откроется рынок акций в 2024,How the stock market will open in 2024,0.0272744782269001,0.026723548769950867,0.9460019469261169,0.000550929456949234
В каких активах встречать праздники: акции и облигации на каникулы,What kind of assets to meet holidays: shares and bonds for vacations,0.02854681760072708,0.02909879945218563,0.9423543810844421,-0.0005519818514585495
Какие акции лучше вам подходят,Which shares are better suited for you?,0.05790280923247337,0.01712738536298275,0.9249697327613831,0.040775423869490623
Куда текут деньги. Нефтяники снова в лидерах,"Where the money goes, the oil workers are back in leadership.",0.14636802673339844,0.026603959500789642,0.8270280361175537,0.1197640672326088
12 событий года на российском рынке,12 events of the year in the Russian market,0.034506458789110184,0.03884643316268921,0.9266470670700073,-0.004339974373579025
Большой защитный портфель на 2024,Large security portfolio for 2024,0.06179797276854515,0.014124881476163864,0.9240771532058716,0.04767309129238129
Ускоряем фаворитов. Топ-5 идей с прицелом на март 2024,"Let's speed up the favourites, top five ideas with a shot for March 2024.",0.05595237389206886,0.01641092821955681,0.9276367425918579,0.039541445672512054
Где на рынке дают самые большие плечи,Where the biggest shoulders are given in the market.,0.04790053144097328,0.039669450372457504,0.9124300479888916,0.008231081068515778
Сбербанк. Резко изменили направление,"""Sberbank."" Turned out to be a sharp change of direction.",0.073122538626194,0.18823464214801788,0.7386428713798523,-0.11511210352182388
Идея в Сбере. Покупка на просадке как подготовка к дивидендам,It's an idea in Sber.,0.04862433671951294,0.0302511528134346,0.9211245179176331,0.01837318390607834
Как правильно докупаться на падении,How to Purchasing the Fall,0.037661027163267136,0.031324245035648346,0.9310146570205688,0.00633678212761879
Как поменялись обороты в акциях в 2023 году,How shares changed in 2023,0.03143751621246338,0.06072377413511276,0.907838761806488,-0.029286257922649384
Портфели БКС. Фавориты выросли на 4%,BCS briefcases. Favorites grew by 4%.,0.9549477696418762,0.015164880082011223,0.02988734096288681,0.939782889559865
5 идей в российских акциях. Фавориты интересны на коррекции,Five ideas in Russian stock. The Favorites are interested in correction.,0.04661526158452034,0.019450079649686813,0.9339346885681152,0.027165181934833527
"Главное за неделю. Боковик, но зато какой","It's all about the week, the sidewalk, but that's what it's like.",0.032088954001665115,0.09315066039562225,0.8747603297233582,-0.06106170639395714
Сбер. ИИ как новый этап развития,S.I.A. as a new stage of development,0.12442837655544281,0.008124183863401413,0.8674474358558655,0.1163041926920414
Топ-5 популярных фьючерсов на российские акции,Top five popular futures for Russian stocks,0.04084121435880661,0.03201761841773987,0.9271411299705505,0.008823595941066742
Портфели БКС. Меняем HeadHunter на НОВАТЭК,"BCS briefcases, changing HeadHunter to NOVATEC.",0.04004770144820213,0.060006964951753616,0.8999453186988831,-0.019959263503551483
5 идей в российских акциях. Добавляем нефтянку,Five ideas in Russian stock.,0.046558354049921036,0.021899254992604256,0.9315423965454102,0.02465909905731678
"Сбербанк. Отскок может продолжиться к 280,5",Sberbank. The rebound can continue by 280.5.,0.7371830940246582,0.010168969631195068,0.25264790654182434,0.7270141243934631
Основа российского рынка. На каких акциях все держится,The basis of the Russian market.,0.03879467025399208,0.024466851726174355,0.9367384314537048,0.014327818527817726
Новая стратегия Сбера. Опрос инвесторов,Sber's new strategy: Investor survey,0.07677772641181946,0.01196361519396305,0.9112586379051208,0.06481411121785641
Портфели БКС. Замены в фаворитах и аутсайдерах,"BCS briefcases, replacements in favour of favourites and outsiders",0.07132575660943985,0.09266401082277298,0.8360101580619812,-0.02133825421333313
5 идей в российских акциях +1 дивидендная фишка,5 ideas in Russian shares +1 dividend chip,0.07479061186313629,0.013509346172213554,0.9117000699043274,0.06128126569092274
На случай предновогоднего ралли — какие акции выбрать,"In case of a previous year's rally, which shares to choose",0.1198648065328598,0.014779283665120602,0.865355908870697,0.1050855228677392
"Сбербанк. Может продолжить подъем к 289,5","Sberbank, maybe keep up by 2895.",0.7638562917709351,0.01209355890750885,0.22405017912387848,0.7517627328634262
Предновогоднее ралли 2023. «За» и «против»,The previous year's Rally 2023.,0.10927052050828934,0.016066428273916245,0.8746630549430847,0.09320409223437309
Портфели БКС. Замена в краткосрочных фаворитах,BCS briefcases: Replacement in short-term favourites,0.027190065011382103,0.2232525795698166,0.7495573163032532,-0.1960625145584345
