<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;230502;000000;242.2000000;245.0000000;237.4000000;242.6200000;83246880
SBER;D;230503;000000;242.8500000;242.9900000;234.0000000;235.7700000;76740930
SBER;D;230504;000000;236.5100000;239.7400000;236.0500000;238.8900000;53006840
SBER;D;230505;000000;239.1900000;240.6600000;237.3000000;237.7000000;61314710
SBER;D;230508;000000;238.6500000;239.8600000;237.3600000;238.2700000;47676110
SBER;D;230510;000000;216.5100000;227.5000000;215.7000000;227.0600000;154134860
SBER;D;230511;000000;228.5700000;235.3800000;223.9400000;229.3200000;197037380
SBER;D;230512;000000;231.0500000;232.4700000;226.1500000;229.2900000;69831820
SBER;D;230515;000000;230.5400000;231.7500000;228.5200000;231.7000000;48873370
SBER;D;230516;000000;232.4000000;232.8600000;229.5700000;230.6200000;36429340
SBER;D;230517;000000;229.8600000;230.9700000;228.7500000;230.5500000;31635370
SBER;D;230518;000000;231.7200000;234.4900000;230.7200000;231.7000000;55909060
SBER;D;230519;000000;230.9800000;232.3000000;229.8100000;231.2700000;31540330
SBER;D;230522;000000;232.2000000;232.7800000;230.0000000;231.0000000;26351890
SBER;D;230523;000000;231.2400000;237.2900000;230.2100000;236.4300000;62996030
SBER;D;230524;000000;237.4900000;246.1300000;236.2600000;246.0600000;85850770
SBER;D;230525;000000;246.1100000;247.4000000;242.6500000;243.7600000;70582820
SBER;D;230526;000000;243.4900000;249.6400000;242.8100000;248.1000000;69113640
SBER;D;230529;000000;249.7700000;252.5900000;248.8500000;251.1800000;67591330
SBER;D;230530;000000;248.8400000;250.8500000;243.8000000;244.6500000;82871290
SBER;D;230531;000000;244.0000000;247.1800000;240.2700000;246.1700000;72797140
SBER;D;230601;000000;247.0000000;247.0000000;240.5700000;241.6600000;51897410
SBER;D;230602;000000;242.0100000;245.5000000;240.7700000;243.9500000;46465000
SBER;D;230605;000000;243.5100000;244.1500000;235.1000000;237.1200000;78650640
SBER;D;230606;000000;236.0000000;242.1000000;232.5400000;240.9100000;100337100
SBER;D;230607;000000;241.2300000;244.3900000;238.5600000;241.2500000;63082450
SBER;D;230608;000000;241.3000000;242.7800000;239.5500000;241.7700000;29851820
SBER;D;230609;000000;242.7900000;243.0000000;240.1100000;240.4000000;27458600
SBER;D;230613;000000;241.5100000;244.5000000;240.6300000;244.3300000;40478120
SBER;D;230614;000000;245.7000000;247.6800000;242.8000000;244.6000000;51810860
SBER;D;230615;000000;245.1200000;245.9400000;243.2200000;245.1800000;40015310
SBER;D;230616;000000;245.5000000;245.9000000;243.7000000;243.8700000;23311220
